Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
RELIANCE,RELIANCE INDUSTRIES LIMITED,RELIANCE INDUSTRIES LIMITED,,,,
TCS,TATA CONSULTANCY SERVICES LIMITED,TATA CONSULTANCY SERVICES LIMITED,,,,
HDFCBANK,HDFC BANK LIMITED,HDFC BANK LIMITED,,,,
BHARTIARTL,BHARTI AIRTEL LIMITED,BHARTI AIRTEL LIMITED,,,,
ICICIBANK,ICICI BANK LIMITED,ICICI BANK LIMITED,,,,
INFY,INFOSYS LIMITED,INFOSYS LIMITED,,,,
SBIN,STATE BANK OF INDIA,STATE BANK OF INDIA,,,,
LICI,LIFE INSURANCE CORPORATION OF INDIA,LIFE INSURANCE CORPORATION OF INDIA,,,,
HINDUNILVR,HINDUSTAN UNILEVER LIMITED,HINDUSTAN UNILEVER LIMITED,,,,
ITC,ITC LIMITED,ITC LIMITED,,,,
LT,LARSEN & TOUBRO LIMITED,LARSEN & TOUBRO LIMITED,,,,
HCLTECH,HCL TECHNOLOGIES LIMITED,HCL TECHNOLOGIES LIMITED,,,,
BAJFINANCE,BAJAJ FINANCE LIMITED,BAJAJ FINANCE LIMITED,,,,
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LIMITED,SUN PHARMACEUTICAL INDUSTRIES LIMITED,,,,
NTPC,NTPC LIMITED,NTPC LIMITED,,,,
MARUTI,MARUTI SUZUKI INDIA LIMITED,MARUTI SUZUKI INDIA LIMITED,,,,
AXISBANK,AXIS BANK LIMITED,AXIS BANK LIMITED,,,,
ONGC,OIL & NATURAL GAS CORPORATION LIMITED,OIL & NATURAL GAS CORPORATION LIMITED,,,,
M&M,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA LIMITED,,,,
KOTAKBANK,KOTAK MAHINDRA BANK LIMITED,KOTAK MAHINDRA BANK LIMITED,,,,
TATAMOTORS,TATA MOTORS LIMITED,TATA MOTORS LIMITED,,,,
ADANIENT,ADANI ENTERPRISES LIMITED,ADANI ENTERPRISES LIMITED,,,,
ULTRACEMCO,ULTRATECH CEMENT LIMITED,ULTRATECH CEMENT LIMITED,,,,
POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED,POWER GRID CORPORATION OF INDIA LIMITED,,,,
HAL,HINDUSTAN AERONAUTICS LIMITED,HINDUSTAN AERONAUTICS LIMITED,,,,
TITAN,TITAN COMPANY LIMITED,TITAN COMPANY LIMITED,,,,
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,,,,
DMART,AVENUE SUPERMARTS LIMITED,AVENUE SUPERMARTS LIMITED,,,,
COALINDIA,COAL INDIA LIMITED,COAL INDIA LIMITED,,,,
WIPRO,WIPRO LIMITED,WIPRO LIMITED,,,,
BAJAJ-AUTO,BAJAJ AUTO LIMITED,BAJAJ AUTO LIMITED,,,,
ASIANPAINT,ASIAN PAINTS LIMITED,ASIAN PAINTS LIMITED,,,,
BAJAJFINSV,BAJAJ FINSERV LIMITED,BAJAJ FINSERV LIMITED,,,,
ADANIGREEN,ADANI GREEN ENERGY LIMITED,ADANI GREEN ENERGY LIMITED,,,,
SIEMENS,SIEMENS LIMITED,SIEMENS LIMITED,,,,
ADANIPOWER,ADANI POWER LIMITED,ADANI POWER LIMITED,,,,
TRENT,TRENT LIMITED,TRENT LIMITED,,,,
NESTLEIND,NESTLE INDIA LIMITED,NESTLE INDIA LIMITED,,,,
JSWSTEEL,JSW STEEL LIMITED,JSW STEEL LIMITED,,,,
ZOMATO,ZOMATO LIMITED,ZOMATO LIMITED,,,,
HINDZINC,HINDUSTAN ZINC LIMITED,HINDUSTAN ZINC LIMITED,,,,
IOC,INDIAN OIL CORPORATION LIMITED,INDIAN OIL CORPORATION LIMITED,,,,
BEL,BHARAT ELECTRONICS LIMITED,BHARAT ELECTRONICS LIMITED,,,,
IRFC,INDIAN RAILWAY FINANCE CORPORATION LIMITED,INDIAN RAILWAY FINANCE CORPORATION LIMITED,,,,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,JIO FINANCIAL SERVICES LIMITED,,,,
DLF,DLF LIMITED,DLF LIMITED,,,,
VBL,VARUN BEVERAGES LIMITED,VARUN BEVERAGES LIMITED,,,,
TATASTEEL,TATA STEEL LIMITED,TATA STEEL LIMITED,,,,
VEDL,VEDANTA LIMITED,VEDANTA LIMITED,,,,
LTIM,LTIMINDTREE LIMITED,LTIMINDTREE LIMITED,,,,
GRASIM,GRASIM INDUSTRIES LIMITED,GRASIM INDUSTRIES LIMITED,,,,
INDIGO,INTERGLOBE AVIATION LIMITED,INTERGLOBE AVIATION LIMITED,,,,
SBILIFE,SBI LIFE INSURANCE COMPANY LIMITED,SBI LIFE INSURANCE COMPANY LIMITED,,,,
PFC,POWER FINANCE CORPORATION LIMITED,POWER FINANCE CORPORATION LIMITED,,,,
ABB,ABB INDIA LIMITED,ABB INDIA LIMITED,,,,
TECHM,TECH MAHINDRA LIMITED,TECH MAHINDRA LIMITED,,,,
PIDILITIND,PIDILITE INDUSTRIES LIMITED,PIDILITE INDUSTRIES LIMITED,,,,
HINDALCO,HINDALCO INDUSTRIES LIMITED,HINDALCO INDUSTRIES LIMITED,,,,
AMBUJACEM,AMBUJA CEMENTS LIMITED,AMBUJA CEMENTS LIMITED,,,,
HYUNDAI,HYUNDAI MOTOR INDIA LIMITED,HYUNDAI MOTOR INDIA LIMITED,,,,
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED,HDFC LIFE INSURANCE COMPANY LIMITED,,,,
RECLTD,REC LIMITED,REC LIMITED,,,,
DIVISLAB,DIVI'S LABORATORIES LIMITED,DIVI'S LABORATORIES LIMITED,,,,
GAIL,GAIL (INDIA) LIMITED,GAIL (INDIA) LIMITED,,,,
BPCL,BHARAT PETROLEUM CORPORATION LIMITED,BHARAT PETROLEUM CORPORATION LIMITED,,,,
TATAPOWER,TATA POWER COMPANY LIMITED,TATA POWER COMPANY LIMITED,,,,
GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED,GODREJ CONSUMER PRODUCTS LIMITED,,,,
BRITANNIA,BRITANNIA INDUSTRIES LIMITED,BRITANNIA INDUSTRIES LIMITED,,,,
EICHERMOT,EICHER MOTORS LIMITED,EICHER MOTORS LIMITED,,,,
MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,,,,
LODHA,MACROTECH DEVELOPERS LIMITED,MACROTECH DEVELOPERS LIMITED,,,,
BANKBARODA,BANK OF BARODA,BANK OF BARODA,,,,
CIPLA,CIPLA LIMITED,CIPLA LIMITED,,,,
JSWENERGY,JSW ENERGY LIMITED,JSW ENERGY LIMITED,,,,
TVSMOTOR,TVS MOTOR COMPANY LIMITED,TVS MOTOR COMPANY LIMITED,,,,
PNB,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK,,,,
SHRIRAMFIN,SHRIRAM FINANCE LIMITED,SHRIRAM FINANCE LIMITED,,,,
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,,,,
BAJAJHFL,BAJAJ HOUSING FINANCE LIMITED,BAJAJ HOUSING FINANCE LIMITED,,,,
SWIGGY,SWIGGY LIMITED,SWIGGY LIMITED,,,,
BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LIMITED,BAJAJ HOLDINGS & INVESTMENT LIMITED,,,,
NTPCGREEN,NTPC GREEN ENERGY LIMITED,NTPC GREEN ENERGY LIMITED,,,,
HAVELLS,HAVELLS INDIA LIMITED,HAVELLS INDIA LIMITED,,,,
ADANIENSOL,ADANI ENERGY SOLUTIONS LIMITED,ADANI ENERGY SOLUTIONS LIMITED,,,,
CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,,,,
TORNTPHARM,TORRENT PHARMACEUTICALS LIMITED,TORRENT PHARMACEUTICALS LIMITED,,,,
DRREDDY,DR. REDDY'S LABORATORIES LIMITED,DR. REDDY'S LABORATORIES LIMITED,,,,
IOB,INDIAN OVERSEAS BANK,INDIAN OVERSEAS BANK,,,,
ZYDUSLIFE,ZYDUS LIFESCIENCES LIMITED,ZYDUS LIFESCIENCES LIMITED,,,,
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,TATA CONSUMER PRODUCTS LIMITED,,,,
UNITDSPR,UNITED SPIRITS LIMITED,UNITED SPIRITS LIMITED,,,,
RVNL,RAIL VIKAS NIGAM LIMITED,RAIL VIKAS NIGAM LIMITED,,,,
HEROMOTOCO,HERO MOTOCORP LIMITED,HERO MOTOCORP LIMITED,,,,
DABUR,DABUR INDIA LIMITED,DABUR INDIA LIMITED,,,,
ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,,,,
BOSCHLTD,BOSCH LIMITED,BOSCH LIMITED,,,,
POLYCAB,POLYCAB INDIA LIMITED,POLYCAB INDIA LIMITED,,,,
INDUSTOWER,INDUS TOWERS LIMITED,INDUS TOWERS LIMITED,,,,
CUMMINSIND,CUMMINS INDIA LIMITED,CUMMINS INDIA LIMITED,,,,
NAUKRI,INFO EDGE (INDIA) LIMITED,INFO EDGE (INDIA) LIMITED,,,,
INDHOTEL,THE INDIAN HOTELS COMPANY LIMITED,THE INDIAN HOTELS COMPANY LIMITED,,,,
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLO HOSPITALS ENTERPRISE LIMITED,,,,
MANKIND,MANKIND PHARMA LIMITED,MANKIND PHARMA LIMITED,,,,
OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,,,,
INDUSINDBK,INDUSIND BANK LIMITED,INDUSIND BANK LIMITED,,,,
ICICIGI,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,,,,
JINDALSTEL,JINDAL STEEL & POWER LIMITED,JINDAL STEEL & POWER LIMITED,,,,
SOLARINDS,SOLAR INDUSTRIES INDIA LIMITED,SOLAR INDUSTRIES INDIA LIMITED,,,,
CANBK,CANARA BANK,CANARA BANK,,,,
LUPIN,LUPIN LIMITED,LUPIN LIMITED,,,,
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,MAX HEALTHCARE INSTITUTE LIMITED,,,,
SUZLON,SUZLON ENERGY LIMITED,SUZLON ENERGY LIMITED,,,,
BHEL,BHARAT HEAVY ELECTRICALS LIMITED,BHARAT HEAVY ELECTRICALS LIMITED,,,,
UNIONBANK,UNION BANK OF INDIA,UNION BANK OF INDIA,,,,
SHREECEM,SHREE CEMENT LIMITED,SHREE CEMENT LIMITED,,,,
IDBI,IDBI BANK LIMITED,IDBI BANK LIMITED,,,,
NHPC,NHPC LIMITED,NHPC LIMITED,,,,
HDFCAMC,HDFC ASSET MANAGEMENT COMPANY LIMITED,HDFC ASSET MANAGEMENT COMPANY LIMITED,,,,
MAZDOCK,MAZAGON DOCK SHIPBUILDERS LIMITED,MAZAGON DOCK SHIPBUILDERS LIMITED,,,,
OIL,OIL INDIA LIMITED,OIL INDIA LIMITED,,,,
COLPAL,COLGATE PALMOLIVE (INDIA) LIMITED,COLGATE PALMOLIVE (INDIA) LIMITED,,,,
ATGL,ADANI TOTAL GAS LIMITED,ADANI TOTAL GAS LIMITED,,,,
DIXON,DIXON TECHNOLOGIES (INDIA) LIMITED,DIXON TECHNOLOGIES (INDIA) LIMITED,,,,
MARICO,MARICO LIMITED,MARICO LIMITED,,,,
PERSISTENT,PERSISTENT SYSTEMS LIMITED,PERSISTENT SYSTEMS LIMITED,,,,
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LIMITED,HINDUSTAN PETROLEUM CORPORATION LIMITED,,,,
WAAREEENER,WAAREE ENERGIES LIMITED,WAAREE ENERGIES LIMITED,,,,
GODREJPROP,GODREJ PROPERTIES LIMITED,GODREJ PROPERTIES LIMITED,,,,
TORNTPOWER,TORRENT POWER LIMITED,TORRENT POWER LIMITED,,,,
GMRAIRPORT,GMR AIRPORTS LIMITED,GMR AIRPORTS LIMITED,,,,
AUROPHARMA,AUROBINDO PHARMA LIMITED,AUROBINDO PHARMA LIMITED,,,,
IDEA,VODAFONE IDEA LIMITED,VODAFONE IDEA LIMITED,,,,
POLICYBZR,PB FINTECH LIMITED,PB FINTECH LIMITED,,,,
TIINDIA,TUBE INVESTMENTS OF INDIA LIMITED,TUBE INVESTMENTS OF INDIA LIMITED,,,,
MUTHOOTFIN,MUTHOOT FINANCE LIMITED,MUTHOOT FINANCE LIMITED,,,,
INDIANB,INDIAN BANK,INDIAN BANK,,,,
PRESTIGE,PRESTIGE ESTATES PROJECTS LIMITED,PRESTIGE ESTATES PROJECTS LIMITED,,,,
IRCTC,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,,,,
SRF,SRF LIMITED,SRF LIMITED,,,,
YESBANK,YES BANK LIMITED,YES BANK LIMITED,,,,
GICRE,GENERAL INSURANCE CORPORATION OF INDIA,GENERAL INSURANCE CORPORATION OF INDIA,,,,
BHARATFORG,BHARAT FORGE LIMITED,BHARAT FORGE LIMITED,,,,
OBEROIRLTY,OBEROI REALTY LIMITED,OBEROI REALTY LIMITED,,,,
SBICARD,SBI CARDS AND PAYMENT SERVICES LIMITED,SBI CARDS AND PAYMENT SERVICES LIMITED,,,,
ASHOKLEY,ASHOK LEYLAND LIMITED,ASHOK LEYLAND LIMITED,,,,
ALKEM,ALKEM LABORATORIES LIMITED,ALKEM LABORATORIES LIMITED,,,,
JSWINFRA,JSW INFRASTRUCTURE LIMITED,JSW INFRASTRUCTURE LIMITED,,,,
KALYANKJIL,KALYAN JEWELLERS INDIA LIMITED,KALYAN JEWELLERS INDIA LIMITED,,,,
NMDC,NMDC LIMITED,NMDC LIMITED,,,,
BHARTIHEXA,BHARTI HEXACOM LIMITED,BHARTI HEXACOM LIMITED,,,,
PIIND,PI INDUSTRIES LIMITED,PI INDUSTRIES LIMITED,,,,
SUPREMEIND,SUPREME INDUSTRIES LIMITED,SUPREME INDUSTRIES LIMITED,,,,
LINDEINDIA,LINDE INDIA LIMITED,LINDE INDIA LIMITED,,,,
PATANJALI,PATANJALI FOODS LIMITED,PATANJALI FOODS LIMITED,,,,
BERGEPAINT,BERGER PAINTS (I) LIMITED,BERGER PAINTS (I) LIMITED,,,,
FACT,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,,,,
PHOENIXLTD,THE PHOENIX MILLS LIMITED,THE PHOENIX MILLS LIMITED,,,,
IREDA,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,,,,
JSL,JINDAL STAINLESS LIMITED,JINDAL STAINLESS LIMITED,,,,
UNOMINDA,UNO MINDA LIMITED,UNO MINDA LIMITED,,,,
SCHAEFFLER,SCHAEFFLER INDIA LIMITED,SCHAEFFLER INDIA LIMITED,,,,
UCOBANK,UCO BANK,UCO BANK,,,,
THERMAX,THERMAX LIMITED,THERMAX LIMITED,,,,
BALKRISIND,BALKRISHNA INDUSTRIES LIMITED,BALKRISHNA INDUSTRIES LIMITED,,,,
VOLTAS,VOLTAS LIMITED,VOLTAS LIMITED,,,,
MRF,MRF LIMITED,MRF LIMITED,,,,
MPHASIS,MPHASIS LIMITED,MPHASIS LIMITED,,,,
CONCOR,CONTAINER CORPORATION OF INDIA LIMITED,CONTAINER CORPORATION OF INDIA LIMITED,,,,
ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,ADITYA BIRLA CAPITAL LIMITED,,,,
LTTS,L&T TECHNOLOGY SERVICES LIMITED,L&T TECHNOLOGY SERVICES LIMITED,,,,
POWERINDIA,HITACHI ENERGY INDIA LIMITED,HITACHI ENERGY INDIA LIMITED,,,,
SAIL,STEEL AUTHORITY OF INDIA LIMITED,STEEL AUTHORITY OF INDIA LIMITED,,,,
TATACOMM,TATA COMMUNICATIONS LIMITED,TATA COMMUNICATIONS LIMITED,,,,
NYKAA,FSN E COMMERCE VENTURES LIMITED,FSN E COMMERCE VENTURES LIMITED,,,,
UBL,UNITED BREWERIES LIMITED,UNITED BREWERIES LIMITED,,,,
PGHH,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,,,,
ASTRAL,ASTRAL LIMITED,ASTRAL LIMITED,,,,
IDFCFIRSTB,IDFC FIRST BANK LIMITED,IDFC FIRST BANK LIMITED,,,,
PETRONET,PETRONET LNG LIMITED,PETRONET LNG LIMITED,,,,
BANKINDIA,BANK OF INDIA,BANK OF INDIA,,,,
HUDCO,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED,,,,
PREMIERENE,PREMIER ENERGIES LIMITED,PREMIER ENERGIES LIMITED,,,,
CENTRALBK,CENTRAL BANK OF INDIA,CENTRAL BANK OF INDIA,,,,
BSE,BSE LIMITED,BSE LIMITED,,,,
SUNDARMFIN,SUNDARAM FINANCE LIMITED,SUNDARAM FINANCE LIMITED,,,,
COROMANDEL,COROMANDEL INTERNATIONAL LIMITED,COROMANDEL INTERNATIONAL LIMITED,,,,
